Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0016911,0.060515,-0.0040379,0,0,0,5.4519,0.019725,-0.00045193,1.0484E-08,0.03498,1.3507E-06,0.022321,0,0,0,0,0,0,package://khung xe (1).sldasm/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://khung xe (1).sldasm/meshes/base_link.STL,,codinhbogoc-1-5;codinhbogoc-1-1;codinhbogoc-1-4;codinhbogoc-1-3;codinhbogoc-1-2;codinhbogoc-1-8;codinhbogoc-1-6;codinhbogoc-1-7;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-133;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-130;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-129;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-122;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-132;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-128;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-125;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-114;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-118;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-131;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-117;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-121;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-119;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-115;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-127;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-126;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-120;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-124;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-116;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-123;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-112;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-109;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-106;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-102;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-98;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-97;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-95;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-86;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-84;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-83;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-85;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-104;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-111;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-110;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-108;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-90;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-105;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-101;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-94;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-92;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-87;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-103;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-100;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-113;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-89;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-107;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-93;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-99;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-91;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-96;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-88;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-82;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-81;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-72;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-65;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-70;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-66;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-60;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-79;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-61;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-78;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-77;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-68;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-69;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-64;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-76;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-67;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-74;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-71;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-58;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-56;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-73;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-75;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-62;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-63;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-46;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-80;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-57;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-51;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-43;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-36;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-55;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-53;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-49;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-45;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-41;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-39;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-35;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-38;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-59;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-50;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-47;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-44;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-42;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-52;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-37;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-40;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-48;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-54;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-34;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-33;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-32;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-28;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-21;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-18;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-27;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-19;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-31;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-30;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-29;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-26;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-17;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-25;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-22;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-24;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-23;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-20;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-15;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-14;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-12;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-10;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-9;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-8;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-6;Fig9. INNER BARCKET 40-1-44;Fig9. INNER BARCKET 40-1-43;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-4;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-3;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-2;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-1;Fig9. INNER BARCKET 40-1-48;Fig9. INNER BARCKET 40-1-47;Fig9. INNER BARCKET 40-1-46;Fig9. INNER BARCKET 40-1-41;Fig9. INNER BARCKET 40-1-40;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-16;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-5;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-13;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-11;Fig9. INNER BARCKET 40-1-45;Fig9. INNER BARCKET 40-1-42;socket head cap screw_iso(ISO 4762 M6 x 16 - 16S)-1-7;Fig9. INNER BARCKET 40-1-39;Fig9. INNER BARCKET 40-1-24;Fig9. INNER BARCKET 40-1-38;Fig9. INNER BARCKET 40-1-37;Fig9. INNER BARCKET 40-1-31;Fig9. INNER BARCKET 40-1-36;Fig9. INNER BARCKET 40-1-35;Fig9. INNER BARCKET 40-1-34;Fig9. INNER BARCKET 40-1-32;Fig9. INNER BARCKET 40-1-33;Fig9. INNER BARCKET 40-1-30;Fig9. INNER BARCKET 40-1-27;Fig9. INNER BARCKET 40-1-26;Fig9. INNER BARCKET 40-1-29;Fig9. INNER BARCKET 40-1-28;Fig9. INNER BARCKET 40-1-25;Fig9. INNER BARCKET 40-1-22;Fig9. INNER BARCKET 40-1-20;Fig9. INNER BARCKET 40-1-18;Fig9. INNER BARCKET 40-1-17;Fig9. INNER BARCKET 40-1-15;Fig9. INNER BARCKET 40-1-16;Fig9. INNER BARCKET 40-1-14;Fig9. INNER BARCKET 40-1-10;Fig9. INNER BARCKET 40-1-6;Fig9. INNER BARCKET 40-1-1;Fig9. INNER BARCKET 40-1-3;Fig9. INNER BARCKET 40-1-9;Fig9. INNER BARCKET 40-1-8;Fig9. INNER BARCKET 40-1-2;Fig9. INNER BARCKET 40-1-11;Fig9. INNER BARCKET 40-1-12;Fig9. INNER BARCKET 40-1-23;Fig9. INNER BARCKET 40-1-21;Fig9. INNER BARCKET 40-1-19;Fig9. INNER BARCKET 40-1-5;Fig9. INNER BARCKET 40-1-4;Fig9. INNER BARCKET 40-1-13;Fig9. INNER BARCKET 40-1-7;GLH-75-ASF-1-4;GLH-75-ASF-1-2;GLH-75-ASF-1-1;DC motor Bracket-1-1;TBTA_002.stp-1-1;DC motor Bracket-1-2;TBTA_002.stp-1-2;GLH-75-ASF-1-3;nhom 129.91mm-1-1;nhom131.15mm-1-1;thanh ngang-1-6;thanh ngang-1-5;thanh ngang-1-4;bàn d_t d_ng co-1-1;thanhngangmoi-1-4;thanh ngang-1-3;thanhngangmoi-1-2;nhom 128.26mm-1-2;thanhngangmoi-1-3;thanh ngang-1-2;thanh ngang-1-1;nhom 128.26mm-1-1;thanh c_t d_-1-4;thanhngangmoi-1-1;nhom d_nh hình-1-2;nhom c_t d_u-1-1;nhom d_nh hình-1-1;thanh c_t d_-1-2;thanh c_t d_-1-3;thanh c_t d_-1-1;gá trên-1-6;gá trên-1-5;nhôm 450mm-1-3;gá trên-1-1;nhôm 450mm-1-8;nhôm 450mm-1-7;gá trên-1-4;nhôm 450mm-1-6;gá trên-1-2;gá trên-1-3;nhôm 450mm-1-5;nhôm 450mm-1-4;nhôm 450mm-1-2;nhôm 450mm-1-1;nhôm nagng c_t góc-1-1;nhom 90mm c_t góc-1-1;nhom 90mm c_t góc-1-4;nhom 90mm c_t góc-1-2;nhom 90mm c_t góc-1-5;nhom 90mm c_t góc-1-8;nhom dài c_t góc-1-2;nhom dài c_t góc-1-1;nhom 90mm c_t góc-1-7;nhom 90mm c_t góc-1-3;nhôm nagng c_t góc-1-2;nhom 90mm c_t góc-1-6;nhôm 80mm-1-1;nhôm 80mm-1-2;ke d_u-1-1;ke d_u-1-2;Nhôm dh-1-1;tr_c n_i bánh xe-1-1;tr_c n_i bánh xe-1-2,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_link,-8.88180099481439E-07,2.77555756156289E-17,0.0203827214868579,0,0,0,0.968975774829785,0.00170115560343656,1.88539788642714E-18,1.82218282057685E-09,0.00170115056996547,4.80558046232636E-18,0.00288276759907122,0,0,0,0,0,0,package://khung xe (1).sldasm/meshes/left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://khung xe (1).sldasm/meshes/left_link.STL,,motor wheel-1-2,Coordinate System3,Axis_left_link,left_link,fixed,-0.00166943518023849,0.0202499999999948,-0.213138302026856,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_link,0.000131413454829796,8.65973959207622E-15,-0.0203827214868589,0,0,0,0.968975774829785,0.00170115560343656,-1.97842337708994E-18,1.82218282863064E-09,0.00170115056996547,-1.27392630695615E-19,0.00288276759907123,0,0,0,0,0,0,package://khung xe (1).sldasm/meshes/right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://khung xe (1).sldasm/meshes/right_link.STL,,motor wheel-1-1,Coordinate System1,Axis_right_link,right_link,fixed,-0.00166943518023559,0.0202499999999948,0.204334897973151,0,0,0,base_link,0,0,0,,,,,,,,,,,,
